Date & Tme; V(A1) mV; V(A2) mV; V(diff) mV; E(A1) mW; E(A2) mW; E(diff) mW; 
09:15:08 Monday, September 23 2024;0.68;0.48;0.20;0.0000339563;0.0000238969;0.0000100594;
09:16:09 Monday, September 23 2024;0.67;0.62;0.04;0.0000334688;0.0000312281;0.0000022406;
09:17:10 Monday, September 23 2024;0.67;0.47;0.20;0.0000335625;0.0000235313;0.0000100312;
09:18:11 Monday, September 23 2024;0.57;0.66;-0.09;0.0000286219;0.0000330375;-0.0000044156;
09:19:13 Monday, September 23 2024;0.57;0.66;-0.08;0.0000286594;0.0000327563;-0.0000040969;
09:20:14 Monday, September 23 2024;0.69;0.45;0.24;0.0000345469;0.0000227063;0.0000118406;
09:21:15 Monday, September 23 2024;0.51;0.75;-0.24;0.0000255094;0.0000372656;-0.0000117563;
09:22:16 Monday, September 23 2024;0.69;0.52;0.18;0.0000346125;0.0000257625;0.0000088500;
09:23:17 Monday, September 23 2024;0.60;0.68;-0.08;0.0000299156;0.0000339281;-0.0000040125;
09:24:18 Monday, September 23 2024;0.68;0.55;0.13;0.0000338531;0.0000275250;0.0000063281;
09:25:19 Monday, September 23 2024;0.53;0.73;-0.20;0.0000264562;0.0000363188;-0.0000098625;
09:26:20 Monday, September 23 2024;0.58;0.69;-0.11;0.0000291750;0.0000345000;-0.0000053250;
09:27:21 Monday, September 23 2024;0.69;0.52;0.17;0.0000344438;0.0000260437;0.0000084000;
09:28:22 Monday, September 23 2024;0.54;0.67;-0.13;0.0000270844;0.0000336094;-0.0000065250;
